SAID,Name,NameVerbose
0,Reserved,Reserved
1,ERS-1,ERS-1
2,ERS-2,ERS-2
3,METOP-1 (METOP-B),METOP-1 (METOP-B)
4,METOP-2 (METOP-A),METOP-2 (METOP-A)
5,METOP-3 (METOP-C),METOP-3 (METOP-C)
20,SPOT1,SPOT1
21,SPOT2,SPOT2
22,SPOT3,SPOT3
23,SPOT4,SPOT4
40,OERSTED,OERSTED
41,CHAMP,CHAMP
42,TerraSAR-X,TerraSAR-X
43,TanDEM-X,TanDEM-X
44,PAZ,PAZ
46,SMOS,SMOS
47,CryoSat-2,CryoSat-2
48,AEOLUS,AEOLUS
50,METEOSAT-3,METEOSAT-3
51,METEOSAT-4,METEOSAT-4
52,METEOSAT-5,METEOSAT-5
53,METEOSAT-6,METEOSAT-6
54,METEOSAT-7,METEOSAT-7
55,METEOSAT-8,METEOSAT-8
56,METEOSAT-9,METEOSAT-9
57,METEOSAT-10,METEOSAT-10
58,METEOSAT-1,METEOSAT-1
59,METEOSAT-2,METEOSAT-2
60,ENVISAT,ENVISAT
61,Sentinel 3A  ,Sentinel 3A  
62,Sentinel 3A  ,Sentinel 3A  
63,Sentinel 3A  ,Sentinel 3A  
64,Sentinel 3A  ,Sentinel 3A  
70,METEOSAT-11,METEOSAT-11
120,ADEOS,ADEOS
121,ADEOS II,ADEOS II
122,GCOM-W1,GCOM-W1
140,GOSAT,GOSAT
150,GMS-3,GMS-3
151,GMS-4,GMS-4
152,GMS-5,GMS-5
153,GMS,GMS
154,GMS-2,GMS-2
171,MTSAT-1R,MTSAT-1R
172,MTSAT-2,MTSAT-2
173,Himawari-8,Himawari-8
174,Himawari-9,Himawari-9
200,NOAA-8,NOAA-8
201,NOAA-9,NOAA-9
202,NOAA-10,NOAA-10
203,NOAA-11,NOAA-11
204,NOAA-12,NOAA-12
205,NOAA-14,NOAA-14
206,NOAA-15,NOAA-15
207,NOAA-16,NOAA-16
208,NOAA-17,NOAA-17
209,NOAA-18,NOAA-18
220,LANDSAT-5,LANDSAT-5
221,LANDSAT-4,LANDSAT-4
222,LANDSAT-7,LANDSAT-7
223,NOAA-19,NOAA-19
224,NPP,NPP
225,NOAA-20,NOAA-20
226,NOAA-21,NOAA-21
240,DMSP-7,DMSP-7
241,DMSP-8,DMSP-8
242,DMSP-9,DMSP-9
243,DMSP-10,DMSP-10
244,DMSP-11,DMSP-11
245,DMSP-12,DMSP-12
246,DMSP-13,DMSP-13
247,DMSP-14,DMSP-14
248,DMSP-15,DMSP-15
249,DMSP-16,DMSP-16
250,GOES-6,GOES-6
251,GOES-7,GOES-7
252,GOES-8,GOES-8
253,GOES-9,GOES-9
254,GOES-10,GOES-10
